"round","project","bug_id","seed","budget","tests","coverage","line_cov","branch_cov","total_goals","covered_goals","lines","covered_lines","total_branches","covered_branches","buggy_result","buggy_fails","fixed_result","fixed_fails","verdict"
1,"Closure",137,20260918,60,173,52.49,56.72,48.5,2849,1476,170,499,1882,927,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",138,20260918,60,16,22.96,19.24,26.57,1238,262,63,86,616,159,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",139,20260918,60,10,43.07,51.53,34.62,352,152,28,101,144,42,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",13,20260918,60,3,81.87,88.24,75.51,134,112,18,75,40,29,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",140,20260918,60,76,49.83,54.05,45.61,982,486,130,340,266,82,"FAIL",1,"FAIL",1,"INCONCLUSIVE"
1,"Closure",141,20260918,60,146,35.24,38.49,31.97,2712,1247,145,362,1842,859,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",142,20260918,60,23,12.71,13.27,11.21,1794,302,83,178,736,111,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",143,20260918,60,17,35.22,40.04,30.4,717,261,60,187,212,38,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",144,20260918,60,105,63.18,66.62,59.76,2168,977,131,584,924,355,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",145,20260918,60,20,13.83,16.24,11.08,1164,147,31,82,646,62,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",146,20260918,60,82,91.78,91.98,91.58,377,346,79,172,132,117,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",147,20260918,60,15,45.07,48.94,40.87,353,122,25,70,140,50,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",148,20260918,60,24,20.9,22.01,19.79,1571,279,41,105,868,167,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",149,20260918,60,133,63.03,69.74,56.26,2408,1370,264,1004,618,213,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",14,20260918,60,18,34.66,30.1,39.23,815,282,45,121,392,154,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",150,20260918,60,1,14.52,1.54,0.37,1189,12,52,10,524,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",151,20260918,60,6,59.02,74.58,43.75,225,150,15,130,42,15,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",152,20260918,60,60,"","","",0,0,0,0,0,0,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",153,20260918,60,11,32.66,34.13,31.2,649,221,41,127,264,84,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",154,20260918,60,19,9.87,8.52,11.22,2055,267,77,80,1136,182,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",155,20260918,60,80,50.9,56.53,45.3,1060,425,117,252,452,124,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",156,20260918,60,3,5.01,6.4,3.61,577,30,23,21,244,8,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",157,20260918,60,30,10.69,14.55,6.72,2708,316,130,203,1340,101,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",158,20260918,60,39,64.11,49.03,41.06,1254,563,105,427,352,88,"PASS",0,"NOT_RUN","","NOT_AVAILABLE"
1,"Closure",159,20260918,60,10,9.35,10.68,8.02,736,70,79,44,284,24,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",15,20260918,60,4,4.25,5.1,3.4,304,12,20,8,134,1,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",160,20260918,60,73,64.77,69.5,59.56,1219,785,148,531,358,184,"NOT_RUN","","NOT_RUN","","NOT_AVAILABLE"
1,"Closure",161,20260918,60,29,15.89,7.53,24.24,1647,294,31,47,1022,247,"PASS",0,"PASS",0,"NOT_REVEALING"
1,"Closure",162,20260918,60,59,50.77,56.35,45.3,525,270,78,162,182,65,"PASS",0,"PASS",0,"NOT_REVEALING"
