"project","bug_id","subject_status","target_class","source_file","algorithm","seed","search_budget_seconds","client_memory_mb","generation_seconds","generated_test_methods","test_execution","line_coverage_percent","branch_coverage_percent","target_status","error"
"Cli",26,"ok","org.apache.commons.cli.OptionBuilder","Resoucre/Cli_26/org/apache/commons/cli/OptionBuilder.java","STANDARD_GA",20260918,60,2048,66,17,"PASS",96.61,100.00,"ok",""
"Cli",27,"ok","org.apache.commons.cli.OptionGroup","Resoucre/Cli_27/org/apache/commons/cli/OptionGroup.java","STANDARD_GA",20260918,60,2048,6,7,"PASS",100.00,100.00,"ok",""
"Cli",28,"ok","org.apache.commons.cli.Parser","Resoucre/Cli_28/org/apache/commons/cli/Parser.java","STANDARD_GA",20260918,60,2048,68,14,"PASS",88.12,77.92,"ok",""
"Cli",29,"ok","org.apache.commons.cli.Util","Resoucre/Cli_29/org/apache/commons/cli/Util.java","STANDARD_GA",20260918,60,2048,5,7,"PASS",100.00,100.00,"ok",""
"Cli",30,"ok","org.apache.commons.cli.DefaultParser","Resoucre/Cli_30/org/apache/commons/cli/DefaultParser.java","STANDARD_GA",20260918,60,2048,67,13,"PASS",55.98,41.21,"ok",""
"Cli",30,"ok","org.apache.commons.cli.Parser","Resoucre/Cli_30/org/apache/commons/cli/Parser.java","STANDARD_GA",20260918,60,2048,70,16,"PASS",84.62,75.32,"ok",""
"Cli",31,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_31/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,84,38,"PASS",100.00,93.51,"ok",""
"Cli",31,"ok","org.apache.commons.cli.Option","Resoucre/Cli_31/org/apache/commons/cli/Option.java","STANDARD_GA",20260918,60,2048,70,51,"PASS",98.28,99.11,"ok",""
"Cli",31,"ok","org.apache.commons.cli.OptionBuilder","Resoucre/Cli_31/org/apache/commons/cli/OptionBuilder.java","STANDARD_GA",20260918,60,2048,65,17,"PASS",96.72,100.00,"ok",""
"Cli",32,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_32/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,88,39,"PASS",100.00,94.27,"ok",""
"Cli",33,"ok","org.apache.commons.cli.HelpFormatter","Resoucre/Cli_33/org/apache/commons/cli/HelpFormatter.java","STANDARD_GA",20260918,60,2048,95,40,"PASS",99.50,94.63,"ok",""
"Cli",34,"ok","org.apache.commons.cli.Option","Resoucre/Cli_34/org/apache/commons/cli/Option.java","STANDARD_GA",20260918,60,2048,70,51,"PASS",98.26,99.11,"ok",""
"Cli",34,"ok","org.apache.commons.cli.OptionBuilder","Resoucre/Cli_34/org/apache/commons/cli/OptionBuilder.java","STANDARD_GA",20260918,60,2048,66,18,"PASS",96.72,100.00,"ok",""
"Cli",35,"ok","org.apache.commons.cli.Options","Resoucre/Cli_35/org/apache/commons/cli/Options.java","STANDARD_GA",20260918,60,2048,9,19,"PASS",100.00,100.00,"ok",""
"Cli",36,"ok","org.apache.commons.cli.OptionGroup","Resoucre/Cli_36/org/apache/commons/cli/OptionGroup.java","STANDARD_GA",20260918,60,2048,7,8,"PASS",100.00,100.00,"ok",""
"Cli",36,"ok","org.apache.commons.cli.Options","Resoucre/Cli_36/org/apache/commons/cli/Options.java","STANDARD_GA",20260918,60,2048,9,20,"PASS",100.00,100.00,"ok",""
"Cli",37,"ok","org.apache.commons.cli.DefaultParser","Resoucre/Cli_37/org/apache/commons/cli/DefaultParser.java","STANDARD_GA",20260918,60,2048,69,17,"PASS",64.71,49.13,"ok",""
